Gene	Symbol	nTx	tTx	Score	Sign
5236	PGM1	uc001dbh.2	uc010ooy.1	0.575012127547184	Mutual exclusion
2330	FMO5	uc001epi.2	uc001epj.2	0.567487130191175	Mutual exclusion
10456	HAX1	uc001fes.2	uc009wov.2	0.567089402607853	Mutual exclusion
8500	PPFIA1	uc001opo.2	uc001opn.1	0.565358969018821	Mutual exclusion
26118	WSB1	uc002gzd.1	uc002gze.1	0.564182431269171	Mutual exclusion
51426	POLK	uc003kdw.2	uc010izq.2	0.562546297449013	Mutual exclusion
146691	TOM1L2	uc002grz.3	uc002grv.3	0.561238380497586	Mutual exclusion
55183	RIF1	uc002txm.2	uc002txl.2	0.555712192762587	Mutual exclusion
4628	MYH10	uc002gll.2	uc002glm.2	0.551675665609124	Mutual exclusion
26051	PPP1R16B	uc002xje.2	uc010ggc.2	0.551579028729022	Mutual exclusion
5467	PPARD	uc003okm.2	uc011dtc.1	0.551080359822982	Mutual exclusion
9776	KIAA0652	uc001ncz.2	uc010rgv.1	0.54898651326792	Mutual exclusion
54487	DGCR8	uc002zri.2	uc010grz.2	0.548113267820681	Mutual exclusion
2621	GAS6	uc001vud.2	uc001vug.2	0.546128993840507	Mutual exclusion
9043	SPAG9	uc002itb.2	uc002ita.2	0.545666534411366	Mutual exclusion
6776	STAT5A	uc002hzj.1	uc010cyc.1	0.538500346475727	Mutual exclusion
23131	GPATCH8	uc002igw.1	uc010wiz.1	0.5356211429744	Mutual exclusion
199777	ZNF626	uc002npb.1	uc002npc.1	0.534516422736292	Mutual exclusion
6195	RPS6KA1	uc001bmr.1	uc010ofe.1	0.531763409860639	Mutual exclusion
587	BCAT2	uc002pkr.2	uc002pkt.2	0.530521009477953	Mutual exclusion
474344	GIMAP6	uc003whn.2	uc003whm.2	0.526906313008546	Mutual exclusion
368	ABCC6	uc002den.3	uc002deo.3	0.526031615827647	Mutual exclusion
2539	G6PD	uc004fly.1	uc004flx.1	0.525642585414412	Mutual exclusion
10472	ZNF238	uc001iad.3	uc001iae.2	0.524953337615633	Mutual exclusion
9452	ITM2A	uc004edh.2	uc011mqr.1	0.521211425663484	Mutual exclusion
